source,target,weight,type
Me,Mom,25,message
Me,Dad,18,message
Me,Brother,12,call
Me,Sister,9,message
Me,FriendA,42,message
Me,FriendB,36,message
Me,Partner,52,call
Me,ColleagueX,8,message
Me,ColleagueY,5,message
Me,Mentor,4,call
FriendA,FriendB,22,message
FriendA,FriendC,15,message
FriendB,FriendC,19,message
FriendC,FriendD,7,message
FriendD,Me,3,message
Brother,Sister,6,call
ColleagueX,ColleagueY,14,message
ColleagueY,Mentor,3,message
Partner,FriendA,11,call
Partner,Mom,4,message
Dad,Brother,8,call
Sister,Partner,5,message
FriendC,ColleagueX,2,message
Mentor,Me,6,call
Neighbor,Me,1,message
Neighbor,FriendD,2,message
